¿En cuál vas?,ID,Comentario,Gobierno,Oposición,Posible Contradicción
0,6037,Qué prometa lo que quiera. En su vida volverá a tener un cargo público...,0,0,
1,7594,Pura Mafia.   De poder tranza,0,-1,
2,3257,"Siiiiii, que la pongan de candidata para asegurar que pierdan y desaparezca ese partido",0,0,
3,4586,"Parece de fábula: Una modesta maestra, soltera, sin el choro político, se mete a la cueva del lobo mayor y lo despedaza. El lobo sale casi agónico aullando el triunfo en espera de su muerte por que cree que hacer política es similar a vender papel higiénico o kleenex",0,0,
4,138,"GRACIAS SR. PRESIDENTE, DIOS NOS LO BENDIGA, CUÍDE Y PROTEJA SIEMPRE.  ¡ES UN HONOR ESTAR CON EL VERDADERO PUEBLO DE MÉXICO, MORENA CON ADÁN Y EL EXCELENTÍSIMO PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR!",1,0,
5,2696,"Hola Chumel, soy Rosalinda de Chihuahua y tengo fotografía de tù mamá, estuve en el Grupo de Catedral. Contáctame para hacerte el ""regalo"".",0,0,
6,2111,El PRI.existe todavía ese partido,0,-1,
7,2016,Viva la cuarta transformación muera la corrupción,1,-1,
8,2072,"otra loquita más, chochil Gálvez guácala",0,-1,
9,3251,"Increible que hace cuatro años Rafael Barajas ""El fisgon"" recibio a Brozo en su programa",0,0,
10,1894,Todos al Zócalo con mi presidente el primero de julio a las 5 PM.,1,0,
11,581,"Felicidades Chumy por tu progreso, es todo un éxito, y mira nada más a los pre candidatos de morena, son solo unas tristes marionetas manejadas por el titiritero de Macuspano Tabasco",-1,1,
12,5417,Los hijos de los papás años después: no mms que todos mis traumas son por qué ese día se divorciaron.,0,0,
13,8129,¡Que novedad!,0,0,
14,2483,Siempre es un deleite escuchar al maestro Paco Cruz!!!? Gracias por compartir tantos conocimientos que .mucha falta nos hacen a los mexicanos que teníamos vendas en los ojos!!!!!,0,0,
15,6725,NOROÑA LE SUBE EL RAITING A LOS PROGRAMAS A DONDE VA,1,0,
16,2354,"Es impresionante la inversión que se hará en ese estado, pero gober Samuel, quítate la venda de los ojos y ve todo lo que se viene por falta de agua y contaminación, ve por el futuro,  no por tu supuesta buena negociacion",0,0,
17,2148,ÁnimoLili Téllez !!,0,1,
18,6624,Mi más sincero respeto y apoyo para usted señor Noroña,1,0,
19,3967,Como Podemos  exigirle al INE haga su trabajo!?!,-1,0,
20,2172,"Es altamente loable, hablar con la verdad, gente del PRI hicieron escuel a nível Universidad que hoy dia, sigue funcionando con buenos resultados,  los políticos son los otros ricos que roban al amparo de la Ley. Le pedimos al Ejecutivo Federal que mantenga en Paz el Campo para la  producción Alimentaria. De lo anterior se deriva que del exterior nos ofertan Maíz Amarillo o Maiz Blanco, los dos con caracteristicas transgénicos, ¿entonces donde queda el programa Sembrando Vida?",-1,1,
21,1495,Tiene asegurado al menos los votos de sus parientes que ahuevo votarán contra 90 millones de mexicanos con la 4t,1,-1,
22,1464,"Que pena, no se cansa de hacer el ridículo, mis ciudadanos ya los conocemos y sabemos que ustedes no derrotan a nadie",0,0,
23,454,Señor presidente Andrés López Obrador le vuelvo a comunicar de que le mandé unas cotizaciones para mí granja de aquí de Tijuana Baja California soy la señora Maribel Gordillo sí ya lo recibió yo lo mandé con su representante de la señora Claudia se cena ella creo que anda por Sonora espero lo resiva,1,0,
24,2276,"Lo de la   Gris es ridiculo! Si no posees un SSN (# de  seguro social) válido y una historia de trabajo de alMínimo 2 años, no puedes rentar una casa en 🇺🇸. Vivo en US y tienes que cumplir con muchos requisitos para poseer o rentar una propiedad/ departamento.",0,0,
25,7501,3 Doritos después.... Jajajajaja,0,0,
26,1371,"Por más que han tratado de poner en duda la transformación,la verdad con que Obrador camina y gobierna,le va dando la razón día con día",1,0,
27,1302,La oposición ya no existe en México y el financiamiento que puede dar el presupuesto del EDOMEX es preocupante hacia la elección presidencial de 2024.,0,-1,
28,4347,Viva México 🇲🇽. Saludos .,1,1,
29,1201,Señora con todo respeto usted lo que quiere es colgarse de la fama de él presidente porque nadie en sus cinco sentidos votaría por usted porque ya sabemos como trabaja el prianrd,0,-1,
30,6304,Me encantan son los mejores relatan la pura verdad de este país,0,0,
31,4918,"Demuestra que no es bueno adelantarse al conteo final, cuál derrota? Derrotado esta él, hasta jóvenes de un bachilleres lo corrieron. Pobre demagogo",0,0,
32,4909,"Demuestra que, perdieron, qué compraron votos, qué siguen sin entender que ya no se permite la robadera, demuestra que el pueblo manda etc. etc. etc.",1,0,
33,4096,Que la pongan para que morena gane fácil,1,0,
34,1618,Lo que tenemos que padecer los verdaderos mexicanos: aguantar a la escoria que milita en morena.,-1,0,
35,4072,"Jajaja ese Quadri, decirle señor al señor.",0,0,
36,1601,Cuánta razón tienen  esto está de la &#+&#/ ojalá y México despertara y saque a morena a patadas ️,-1,0,
37,940,"estimado Loret y Brozo los admiro por todo lo que dicen en forma de broma que es la verdad y tienen pruebas suficientes mas que nadie, pero acaso Udes. no saben que esta haciendo traición a la Patria ? acaso Udes. no saben ante que autoridades hay que denunciarlos? Udes. son valientes denuncien ante las autoridades correspondientes por favor y serán unos Héroes. Gracias",-1,1,
38,1074,"Te has convertido en mi ídolo weeeeeey!   Tu los Rikis el bueno y el malo, Victor, Gabs y Oswaldo! Me encanta cuando hablan de las verdades de las pendejadas de los políticos y principalmente de las de este gobierno de cuarta",-1,0,
39,1892,"Pov: ya no hay ingresos por parte de la corrupción
Brozo y loret:",0,0,
40,2130,CochiGalvez y su Show Barato,0,-1,
41,3929,Estamos orgullosos de usted señor presidente 🇲🇽🇲🇽,1,0,
42,642,Es necesario que Alito continúe en el pri y sigan haciendo sus mancuernas para que desaparezca de una vez y por siempre el cáncer de México llamado Prian.,0,-1,
43,8046,super programa!!!,0,0,
44,942,"La misma atención que debieron merecer los muertos en Tula 17 , los 24 de la L12 es la atención que merecen los millones de bebés asesinados en el vientre materno . El respeto a la VIDA es para todos , no solo para los 17 de Tula. El aborto no es tema del pasado. Ya decian que hay algunas cosas que se van patecirndo cada día mas a la izquierda. Saludos Lorebrozo.",0,0,
45,7782,Se merece eso o mas!!!!!,0,0,
46,6943,Jajaja es un honor ver a estos  dos valientes,0,0,
47,2669,"Si López piensa que vamos a volver a creer en Morena porque García Luna es culpable, ESTÁ MUY EQUIVOCADO.No logró lo esperado.Nos vemos el 26F.",-1,0,
48,5819,"Ese wey es un traidor mentiroso, solo puede creersele el 10%... Y ya es demasiado",0,0,
49,8170,Puro engaño,0,0,
50,2074,"La pura neta del planeta, Loret y Brozo",0,1,
51,7147,El duo dinámico Sami García y Miguel luis,0,0,
52,6289,Ya se como regresar a Holanda todo chido y sin siquiera irme aún,0,0,
53,4084,"Buenos tardes, Sr. Presidente,bendiciones",1,0,
54,2926,"Tenemos una cita en el Zocalo el 26 de febrero para defender al INE, NUESTRA DEMOCRACIA Y NUESTRO FUTURO BIENESTAR",1,0,
55,4334,México va creciendo al 5.8%,1,0,
56,3089,Qué terrible lo de los víveres para Turquía. México no tiene remedio. Esto ya ha pasado varias veces.,0,0,
57,7998,La Mafia del Poder,0,-1,
58,7409,"Fox, Fox, Fox, Fox, Fox…!!! 🇲🇽🇲🇽🇲🇽",0,1,
59,5205,Bravo señor Fernández Noroña dio una catedra en esta  entrevista.  Es usted sumamente preparado. El mejor aspirante,1,0,
60,5661,"Felicidades a los jóvenes, pusieron el ejemplo de no hablar groserías, están de sobra...",0,0,
